https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DASH,Volume USDT,tradecount
1601510400000,2020-10-01 00:00:00,DASH/USDT,69.18000000,71.03000000,67.18000000,68.06000000,85616.21147000,5952662.48318230,19259
1601424000000,2020-09-30 00:00:00,DASH/USDT,68.49000000,69.18000000,66.65000000,69.17000000,43568.97922000,2944600.50307370,9745
1601337600000,2020-09-29 00:00:00,DASH/USDT,67.35000000,68.82000000,66.64000000,68.45000000,56185.46643000,3791566.77523650,12033
1601251200000,2020-09-28 00:00:00,DASH/USDT,68.84000000,69.98000000,67.01000000,67.35000000,61803.69181000,4263722.40037460,15039
1601164800000,2020-09-27 00:00:00,DASH/USDT,69.00000000,69.98000000,67.13000000,68.78000000,51818.34146000,3554565.48536700,12485
1601078400000,2020-09-26 00:00:00,DASH/USDT,68.59000000,69.95000000,68.29000000,69.04000000,70866.27836000,4893417.67399670,13599
1600992000000,2020-09-25 00:00:00,DASH/USDT,67.77000000,69.40000000,66.52000000,68.55000000,63061.97891000,4284677.46318790,15485
1600905600000,2020-09-24 00:00:00,DASH/USDT,64.90000000,68.57000000,64.33000000,67.79000000,56760.94406000,3805772.15552670,14508
1600819200000,2020-09-23 00:00:00,DASH/USDT,68.14000000,68.48000000,64.27000000,64.86000000,43121.59268000,2875767.46259170,14920
1600732800000,2020-09-22 00:00:00,DASH/USDT,66.87000000,69.06000000,66.33000000,68.12000000,56642.53963000,3852571.96913560,19291
1600646400000,2020-09-21 00:00:00,DASH/USDT,70.75000000,71.67000000,64.67000000,66.81000000,88307.59131000,6005020.65064860,28436
1600560000000,2020-09-20 00:00:00,DASH/USDT,72.83000000,72.97000000,69.38000000,70.77000000,63403.26112000,4495564.57699400,18334
1600473600000,2020-09-19 00:00:00,DASH/USDT,72.18000000,73.60000000,71.34000000,72.85000000,62510.90975000,4532102.85763580,17901
1600387200000,2020-09-18 00:00:00,DASH/USDT,73.33000000,73.74000000,70.34000000,72.24000000,56664.50386000,4100867.21335070,19435
1600300800000,2020-09-17 00:00:00,DASH/USDT,73.02000000,74.74000000,71.34000000,73.32000000,50658.82835000,3695003.02081710,17078
1600214400000,2020-09-16 00:00:00,DASH/USDT,72.92000000,74.29000000,70.89000000,73.01000000,44873.12296000,3269218.36272120,17138
1600128000000,2020-09-15 00:00:00,DASH/USDT,75.10000000,76.12000000,72.74000000,72.95000000,57739.76891000,4294082.01160940,20894
1600041600000,2020-09-14 00:00:00,DASH/USDT,75.53000000,76.77000000,73.83000000,75.13000000,51854.10503000,3910443.23749920,15969
1599955200000,2020-09-13 00:00:00,DASH/USDT,79.34000000,79.34000000,73.17000000,75.53000000,68354.16198000,5208463.20207490,25241
1599868800000,2020-09-12 00:00:00,DASH/USDT,77.05000000,80.08000000,75.53000000,79.34000000,62943.58582000,4895925.93606310,21212
1599782400000,2020-09-11 00:00:00,DASH/USDT,76.99000000,77.40000000,74.57000000,77.09000000,49324.09695000,3750612.67733980,16162
1599696000000,2020-09-10 00:00:00,DASH/USDT,75.54000000,77.75000000,74.98000000,77.01000000,56048.00561000,4285846.94448600,18535
1599609600000,2020-09-09 00:00:00,DASH/USDT,74.73000000,77.85000000,74.11000000,75.50000000,52743.89372000,4017680.03560960,19508
1599523200000,2020-09-08 00:00:00,DASH/USDT,76.14000000,77.75000000,70.03000000,74.74000000,133035.05308000,9925078.96973650,46554
1599436800000,2020-09-07 00:00:00,DASH/USDT,70.08000000,79.32000000,65.81000000,76.05000000,144971.63098000,10554269.24709610,55873
