https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XMR,Volume USDT,tradecount
1600992000000,2020-09-25 00:00:00,XMR/USDT,91.81000000,94.22000000,90.23000000,92.93000000,94929.66302000,8758369.01201150,19821
1600905600000,2020-09-24 00:00:00,XMR/USDT,87.20000000,92.15000000,86.56000000,91.84000000,89982.59084000,8095850.32804960,22694
1600819200000,2020-09-23 00:00:00,XMR/USDT,92.56000000,94.17000000,86.35000000,87.17000000,63910.22929000,5783520.28326600,18349
1600732800000,2020-09-22 00:00:00,XMR/USDT,89.08000000,97.00000000,87.13000000,92.56000000,88291.06303000,8122469.31414830,28505
1600646400000,2020-09-21 00:00:00,XMR/USDT,92.65000000,94.51000000,85.58000000,89.13000000,108979.82079000,9766526.70053470,33760
1600560000000,2020-09-20 00:00:00,XMR/USDT,94.55000000,94.86000000,90.47000000,92.63000000,46679.77399000,4331336.11143560,12975
1600473600000,2020-09-19 00:00:00,XMR/USDT,92.49000000,95.39000000,91.39000000,94.61000000,45674.94371000,4279096.13058830,12588
1600387200000,2020-09-18 00:00:00,XMR/USDT,92.83000000,95.14000000,91.24000000,92.47000000,70538.07630000,6564913.91393530,19551
1600300800000,2020-09-17 00:00:00,XMR/USDT,88.21000000,94.04000000,87.38000000,92.82000000,105027.98421000,9575928.82547730,29533
1600214400000,2020-09-16 00:00:00,XMR/USDT,91.18000000,92.76000000,87.11000000,88.27000000,80232.14920000,7230637.02123800,24462
1600128000000,2020-09-15 00:00:00,XMR/USDT,91.68000000,93.17000000,88.01000000,91.16000000,105692.90687000,9553810.55318870,30822
1600041600000,2020-09-14 00:00:00,XMR/USDT,86.17000000,95.20000000,84.31000000,91.68000000,94332.20567000,8360081.83920850,27345
1599955200000,2020-09-13 00:00:00,XMR/USDT,86.72000000,90.10000000,85.04000000,86.18000000,105709.03828000,9247751.28170820,28493
1599868800000,2020-09-12 00:00:00,XMR/USDT,84.02000000,87.15000000,82.97000000,86.70000000,61834.59049000,5230241.67226430,18356
1599782400000,2020-09-11 00:00:00,XMR/USDT,85.61000000,85.92000000,83.00000000,83.95000000,52768.45523000,4429503.36693930,12938
1599696000000,2020-09-10 00:00:00,XMR/USDT,84.27000000,86.44000000,83.90000000,85.61000000,71822.28887000,6113936.20013980,18177
1599609600000,2020-09-09 00:00:00,XMR/USDT,84.11000000,85.87000000,82.20000000,84.26000000,81912.87014000,6902408.24225220,20931
1599523200000,2020-09-08 00:00:00,XMR/USDT,82.56000000,84.89000000,78.62000000,84.19000000,134249.50508000,11011218.42852930,37870
1599436800000,2020-09-07 00:00:00,XMR/USDT,80.14000000,82.99000000,76.51000000,82.56000000,85441.17199000,6798879.33129310,27563
1599350400000,2020-09-06 00:00:00,XMR/USDT,77.71000000,81.24000000,75.11000000,80.15000000,77662.35402000,6122568.42609430,24854
